user,session,session_pitch,session_mass_kg,session_height_m,age_yrs,playing_level,pitch_speed_mph,filename_new,modelname_new
750,1031,1031_2,110.6784,1.9304,21.4,college,90.4,000750_001031_76_244_013_FF_904.c3d,000750_001031_model.c3d
750,1031,1031_3,110.6784,1.9304,21.4,college,90.4,000750_001031_76_244_014_FF_904.c3d,000750_001031_model.c3d
774,1097,1097_1,101.1528,1.9304,19.41,college,77.6,000774_001097_76_223_001_FF_776.c3d,000774_001097_model.c3d
774,1097,1097_2,101.1528,1.9304,19.41,college,77.0,000774_001097_76_223_005_FF_770.c3d,000774_001097_model.c3d
774,1097,1097_3,101.1528,1.9304,19.41,college,76.1,000774_001097_76_223_006_FF_761.c3d,000774_001097_model.c3d
653,1170,1170_1,82.1016,1.9304,20.52,college,80.9,000653_001170_76_181_001_FF_809.c3d,000653_001170_model.c3d
653,1170,1170_2,82.1016,1.9304,20.52,college,82.6,000653_001170_76_181_002_FF_826.c3d,000653_001170_model.c3d
738,1250,1250_1,78.4728,1.7526,21.49,college,88.1,000738_001250_69_173_002_FF_881.c3d,000738_001250_model.c3d
738,1250,1250_3,78.4728,1.7526,21.49,college,88.6,000738_001250_69_173_010_FF_886.c3d,000738_001250_model.c3d
789,1313,1313_1,84.3696,1.8288,19.02,college,85.8,000789_001313_72_186_006_FF_858.c3d,000789_001313_model.c3d
789,1313,1313_2,84.3696,1.8288,19.02,college,85.9,000789_001313_72_186_007_FF_859.c3d,000789_001313_model.c3d
789,1313,1313_3,84.3696,1.8288,19.02,college,85.8,000789_001313_72_186_009_FF_858.c3d,000789_001313_model.c3d
894,1346,1346_1,72.1224,1.8288,20.67,college,84.6,000894_001346_72_159_004_FF_846.c3d,000894_001346_model.c3d
894,1346,1346_2,72.1224,1.8288,20.67,college,84.5,000894_001346_72_159_012_FF_845.c3d,000894_001346_model.c3d
894,1346,1346_3,72.1224,1.8288,20.67,college,84.8,000894_001346_72_159_013_FF_848.c3d,000894_001346_model.c3d
905,1370,1370_1,104.328,1.905,23.43,independent,87.8,000905_001370_75_230_001_FF_878.c3d,000905_001370_model.c3d
905,1370,1370_2,104.328,1.905,23.43,independent,86.9,000905_001370_75_230_004_FF_869.c3d,000905_001370_model.c3d
905,1370,1370_3,104.328,1.905,23.43,independent,86.9,000905_001370_75_230_006_FF_869.c3d,000905_001370_model.c3d
906,1371,1371_2,99.3384,1.8034,25.27,milb,87.4,000906_001371_71_219_003_FF_874.c3d,000906_001371_model.c3d
906,1371,1371_3,99.3384,1.8034,25.27,milb,87.8,000906_001371_71_219_011_FF_878.c3d,000906_001371_model.c3d
919,1393,1393_1,88.9056,1.6764,23.05,independent,71.3,000919_001393_66_196_001_FF_713.c3d,000919_001393_model.c3d
919,1393,1393_2,88.9056,1.6764,23.05,independent,69.9,000919_001393_66_196_002_FF_699.c3d,000919_001393_model.c3d
919,1393,1393_3,88.9056,1.6764,23.05,independent,69.5,000919_001393_66_196_003_FF_695.c3d,000919_001393_model.c3d
920,1394,1394_1,94.3488,1.905,18.14,high_school,86.3,000920_001394_75_208_001_FF_863.c3d,000920_001394_model.c3d
920,1394,1394_2,94.3488,1.905,18.14,high_school,86.7,000920_001394_75_208_006_FF_867.c3d,000920_001394_model.c3d
920,1394,1394_3,94.3488,1.905,18.14,high_school,86.8,000920_001394_75_208_008_FF_868.c3d,000920_001394_model.c3d
927,1403,1403_1,70.308,1.778,19.1,college,78.7,000927_001403_70_155_006_FF_787.c3d,000927_001403_model.c3d
927,1403,1403_2,70.308,1.778,19.1,college,78.6,000927_001403_70_155_009_FF_786.c3d,000927_001403_model.c3d
927,1403,1403_3,70.308,1.778,19.1,college,77.9,000927_001403_70_155_011_FF_779.c3d,000927_001403_model.c3d
949,1561,1561_1,118.3896,1.9304,25.88,independent,86.0,000949_001561_76_261_003_FF_860.c3d,000949_001561_model.c3d
949,1561,1561_2,118.3896,1.9304,25.88,independent,84.6,000949_001561_76_261_004_FF_846.c3d,000949_001561_model.c3d
949,1561,1561_3,118.3896,1.9304,25.88,independent,86.0,000949_001561_76_261_005_FF_860.c3d,000949_001561_model.c3d
874,1562,1562_1,95.7096,1.8542,20.81,college,91.8,000874_001562_73_211_003_FF_918.c3d,000874_001562_model.c3d
874,1562,1562_2,95.7096,1.8542,20.81,college,90.3,000874_001562_73_211_008_FF_903.c3d,000874_001562_model.c3d
874,1562,1562_3,95.7096,1.8542,20.81,college,90.6,000874_001562_73_211_009_FF_906.c3d,000874_001562_model.c3d
952,1574,1574_1,87.0912,1.9304,21.22,college,89.8,000952_001574_76_192_006_FF_898.c3d,000952_001574_model.c3d
952,1574,1574_2,87.0912,1.9304,21.22,college,88.6,000952_001574_76_192_007_FF_886.c3d,000952_001574_model.c3d
952,1574,1574_3,87.0912,1.9304,21.22,college,89.5,000952_001574_76_192_008_FF_895.c3d,000952_001574_model.c3d
956,1581,1581_1,94.8024,1.7018,21.51,college,82.3,000956_001581_67_209_001_FF_823.c3d,000956_001581_model.c3d
956,1581,1581_2,94.8024,1.7018,21.51,college,82.3,000956_001581_67_209_002_FF_823.c3d,000956_001581_model.c3d
956,1581,1581_3,94.8024,1.7018,21.51,college,83.0,000956_001581_67_209_006_FF_830.c3d,000956_001581_model.c3d
628,1601,1601_1,103.8744,1.8542,20.87,college,86.3,000628_001601_73_229_001_FF_863.c3d,000628_001601_model.c3d
628,1601,1601_2,103.8744,1.8542,20.87,college,86.1,000628_001601_73_229_002_FF_861.c3d,000628_001601_model.c3d
628,1601,1601_3,103.8744,1.8542,20.87,college,86.2,000628_001601_73_229_004_FF_862.c3d,000628_001601_model.c3d
884,1603,1603_1,91.1736,1.7526,22.5,college,85.0,000884_001603_69_201_004_FF_850.c3d,000884_001603_model.c3d
884,1603,1603_2,91.1736,1.7526,22.5,college,85.6,000884_001603_69_201_005_FF_856.c3d,000884_001603_model.c3d
884,1603,1603_3,91.1736,1.7526,22.5,college,85.1,000884_001603_69_201_006_FF_851.c3d,000884_001603_model.c3d
625,1612,1612_1,91.1736,1.8034,19.6,college,86.4,000625_001612_71_201_009_FF_864.c3d,000625_001612_model.c3d
625,1612,1612_2,91.1736,1.8034,19.6,college,85.8,000625_001612_71_201_010_FF_858.c3d,000625_001612_model.c3d
625,1612,1612_3,91.1736,1.8034,19.6,college,84.6,000625_001612_71_201_012_FF_846.c3d,000625_001612_model.c3d
830,1615,1615_1,87.5448,1.778,22.83,college,85.4,000830_001615_70_193_005_FF_854.c3d,000830_001615_model.c3d
830,1615,1615_2,87.5448,1.778,22.83,college,84.4,000830_001615_70_193_006_FF_844.c3d,000830_001615_model.c3d
967,1620,1620_1,92.0808,1.8542,18.0,college,85.0,000967_001620_73_203_002_FF_850.c3d,000967_001620_model.c3d
967,1620,1620_3,92.0808,1.8542,18.0,college,84.6,000967_001620_73_203_010_FF_846.c3d,000967_001620_model.c3d
970,1623,1623_1,81.648,1.7526,22.87,college,85.8,000970_001623_69_180_006_FF_858.c3d,000970_001623_model.c3d
970,1623,1623_2,81.648,1.7526,22.87,college,85.7,000970_001623_69_180_007_FF_857.c3d,000970_001623_model.c3d
970,1623,1623_3,81.648,1.7526,22.87,college,85.3,000970_001623_69_180_008_FF_853.c3d,000970_001623_model.c3d
616,1665,1665_1,106.596,2.032,20.59,college,87.1,000616_001665_80_235_002_FF_871.c3d,000616_001665_model.c3d
616,1665,1665_2,106.596,2.032,20.59,college,87.3,000616_001665_80_235_003_FF_873.c3d,000616_001665_model.c3d
616,1665,1665_3,106.596,2.032,20.59,college,87.3,000616_001665_80_235_004_FF_873.c3d,000616_001665_model.c3d
986,1668,1668_1,81.648,1.8542,19.65,college,87.9,000986_001668_73_180_001_FF_879.c3d,000986_001668_model.c3d
986,1668,1668_2,81.648,1.8542,19.65,college,87.6,000986_001668_73_180_002_FF_876.c3d,000986_001668_model.c3d
986,1668,1668_3,81.648,1.8542,19.65,college,87.8,000986_001668_73_180_004_FF_878.c3d,000986_001668_model.c3d
511,1688,1688_1,106.596,1.9812,22.26,independent,93.1,000511_001688_78_235_003_FF_931.c3d,000511_001688_model.c3d
511,1688,1688_2,106.596,1.9812,22.26,independent,91.4,000511_001688_78_235_004_FF_914.c3d,000511_001688_model.c3d
922,1717,1717_1,103.4208,1.9304,20.57,college,72.0,000922_001717_76_228_002_FF_720.c3d,000922_001717_model.c3d
922,1717,1717_3,103.4208,1.9304,20.57,college,71.4,000922_001717_76_228_009_FF_714.c3d,000922_001717_model.c3d
1000,1718,1718_1,97.524,1.905,25.35,milb,91.2,001000_001718_75_215_004_FF_912.c3d,001000_001718_model.c3d
1000,1718,1718_2,97.524,1.905,25.35,milb,90.8,001000_001718_75_215_006_FF_908.c3d,001000_001718_model.c3d
1000,1718,1718_3,97.524,1.905,25.35,milb,90.8,001000_001718_75_215_007_FF_908.c3d,001000_001718_model.c3d
1003,1729,1729_1,105.6888,2.0066,24.37,independent,90.6,001003_001729_79_233_002_FF_906.c3d,001003_001729_model.c3d
1003,1729,1729_2,105.6888,2.0066,24.37,independent,90.5,001003_001729_79_233_004_FF_905.c3d,001003_001729_model.c3d
1003,1729,1729_3,105.6888,2.0066,24.37,independent,90.4,001003_001729_79_233_006_FF_904.c3d,001003_001729_model.c3d
1017,1759,1759_1,79.38,1.8034,20.74,college,83.9,001017_001759_71_175_001_FF_839.c3d,001017_001759_model.c3d
1017,1759,1759_2,79.38,1.8034,20.74,college,83.4,001017_001759_71_175_002_FF_834.c3d,001017_001759_model.c3d
1017,1759,1759_3,79.38,1.8034,20.74,college,83.5,001017_001759_71_175_004_FF_835.c3d,001017_001759_model.c3d
610,1778,1778_1,88.452,1.8034,26.95,independent,83.3,000610_001778_71_195_002_FF_833.c3d,000610_001778_model.c3d
610,1778,1778_2,88.452,1.8034,26.95,independent,83.4,000610_001778_71_195_010_FF_834.c3d,000610_001778_model.c3d
560,1779,1779_1,103.4208,2.0066,25.61,independent,83.7,000560_001779_79_228_001_FF_837.c3d,000560_001779_model.c3d
560,1779,1779_2,103.4208,2.0066,25.61,independent,85.2,000560_001779_79_228_005_FF_852.c3d,000560_001779_model.c3d
560,1779,1779_3,103.4208,2.0066,25.61,independent,83.5,000560_001779_79_228_006_FF_835.c3d,000560_001779_model.c3d
1027,1782,1782_1,97.524,1.8288,18.64,high_school,73.8,001027_001782_72_215_002_FF_738.c3d,001027_001782_model.c3d
1027,1782,1782_2,97.524,1.8288,18.64,high_school,74.0,001027_001782_72_215_009_FF_740.c3d,001027_001782_model.c3d
1027,1782,1782_3,97.524,1.8288,18.64,high_school,74.3,001027_001782_72_215_010_FF_743.c3d,001027_001782_model.c3d
1027,1782,1782_4,97.524,1.8288,18.64,high_school,75.2,001027_001782_72_215_011_FF_752.c3d,001027_001782_model.c3d
890,1783,1783_2,90.2664,1.8034,20.34,college,79.6,000890_001783_71_199_007_FF_796.c3d,000890_001783_model.c3d
890,1783,1783_3,90.2664,1.8034,20.34,college,79.8,000890_001783_71_199_008_FF_798.c3d,000890_001783_model.c3d
890,1783,1783_4,90.2664,1.8034,20.34,college,80.2,000890_001783_71_199_009_FF_802.c3d,000890_001783_model.c3d
890,1783,1783_5,90.2664,1.8034,20.34,college,80.6,000890_001783_71_199_010_FF_806.c3d,000890_001783_model.c3d
538,1808,1808_1,98.4312,1.8288,24.51,independent,81.1,000538_001808_72_217_002_FF_811.c3d,000538_001808_model.c3d
538,1808,1808_2,98.4312,1.8288,24.51,independent,80.8,000538_001808_72_217_003_FF_808.c3d,000538_001808_model.c3d
538,1808,1808_3,98.4312,1.8288,24.51,independent,81.3,000538_001808_72_217_004_FF_813.c3d,000538_001808_model.c3d
538,1808,1808_4,98.4312,1.8288,24.51,independent,81.2,000538_001808_72_217_005_FF_812.c3d,000538_001808_model.c3d
538,1808,1808_5,98.4312,1.8288,24.51,independent,81.2,000538_001808_72_217_008_FF_812.c3d,000538_001808_model.c3d
283,1826,1826_1,91.1736,1.905,24.43,college,89.3,000283_001826_75_201_001_FF_893.c3d,000283_001826_model.c3d
283,1826,1826_2,91.1736,1.905,24.43,college,88.9,000283_001826_75_201_004_FF_889.c3d,000283_001826_model.c3d
283,1826,1826_3,91.1736,1.905,24.43,college,88.8,000283_001826_75_201_007_FF_888.c3d,000283_001826_model.c3d
283,1826,1826_4,91.1736,1.905,24.43,college,89.6,000283_001826_75_201_008_FF_896.c3d,000283_001826_model.c3d
283,1826,1826_5,91.1736,1.905,24.43,college,89.1,000283_001826_75_201_009_FF_891.c3d,000283_001826_model.c3d
1062,1830,1830_1,84.3696,1.6764,21.88,college,83.5,001062_001830_66_186_002_FF_835.c3d,001062_001830_model.c3d
1062,1830,1830_2,84.3696,1.6764,21.88,college,83.4,001062_001830_66_186_003_FF_834.c3d,001062_001830_model.c3d
1062,1830,1830_3,84.3696,1.6764,21.88,college,83.4,001062_001830_66_186_004_FF_834.c3d,001062_001830_model.c3d
1062,1830,1830_4,84.3696,1.6764,21.88,college,83.7,001062_001830_66_186_007_FF_837.c3d,001062_001830_model.c3d
1062,1830,1830_5,84.3696,1.6764,21.88,college,83.5,001062_001830_66_186_008_FF_835.c3d,001062_001830_model.c3d
1068,1845,1845_1,92.5344,1.905,20.22,college,87.5,001068_001845_75_204_002_FF_875.c3d,001068_001845_model.c3d
1068,1845,1845_2,92.5344,1.905,20.22,college,87.0,001068_001845_75_204_006_FF_870.c3d,001068_001845_model.c3d
1068,1845,1845_3,92.5344,1.905,20.22,college,87.5,001068_001845_75_204_009_FF_875.c3d,001068_001845_model.c3d
1466,2653,2653_1,77.112,1.905,19.73,college,90.9,001466_002653_75_170_001_FF_909.c3d,001466_002653_model.c3d
1466,2653,2653_2,77.112,1.905,19.73,college,89.4,001466_002653_75_170_002_FF_894.c3d,001466_002653_model.c3d
1466,2653,2653_3,77.112,1.905,19.73,college,89.1,001466_002653_75_170_003_FF_891.c3d,001466_002653_model.c3d
1466,2653,2653_4,77.112,1.905,19.73,college,87.8,001466_002653_75_170_004_FF_878.c3d,001466_002653_model.c3d
1466,2653,2653_5,77.112,1.905,19.73,college,87.7,001466_002653_75_170_006_FF_877.c3d,001466_002653_model.c3d
1005,2655,2655_1,94.3488,1.8034,19.58,college,84.8,001005_002655_71_208_001_FF_848.c3d,001005_002655_model.c3d
1005,2655,2655_2,94.3488,1.8034,19.58,college,85.8,001005_002655_71_208_003_FF_858.c3d,001005_002655_model.c3d
1005,2655,2655_3,94.3488,1.8034,19.58,college,85.1,001005_002655_71_208_004_FF_851.c3d,001005_002655_model.c3d
1005,2655,2655_4,94.3488,1.8034,19.58,college,84.8,001005_002655_71_208_006_FF_848.c3d,001005_002655_model.c3d
1005,2655,2655_5,94.3488,1.8034,19.58,college,84.9,001005_002655_71_208_007_FF_849.c3d,001005_002655_model.c3d
976,2730,2730_1,89.8128,1.8796,21.57,college,81.8,000976_002730_74_198_001_FF_818.c3d,000976_002730_model.c3d
976,2730,2730_2,89.8128,1.8796,21.57,college,82.6,000976_002730_74_198_002_FF_826.c3d,000976_002730_model.c3d
976,2730,2730_3,89.8128,1.8796,21.57,college,82.8,000976_002730_74_198_003_FF_828.c3d,000976_002730_model.c3d
976,2730,2730_5,89.8128,1.8796,21.57,college,81.6,000976_002730_74_198_006_FF_816.c3d,000976_002730_model.c3d
359,2734,2734_1,87.9984,1.8288,20.99,college,87.9,000359_002734_72_194_001_FF_879.c3d,000359_002734_model.c3d
359,2734,2734_2,87.9984,1.8288,20.99,college,88.1,000359_002734_72_194_002_FF_881.c3d,000359_002734_model.c3d
359,2734,2734_3,87.9984,1.8288,20.99,college,87.8,000359_002734_72_194_003_FF_878.c3d,000359_002734_model.c3d
359,2734,2734_4,87.9984,1.8288,20.99,college,88.4,000359_002734_72_194_004_FF_884.c3d,000359_002734_model.c3d
359,2734,2734_5,87.9984,1.8288,20.99,college,86.8,000359_002734_72_194_005_FF_868.c3d,000359_002734_model.c3d
581,2742,2742_1,99.792,1.905,20.46,college,87.7,000581_002742_75_220_002_FF_877.c3d,000581_002742_model.c3d
581,2742,2742_2,99.792,1.905,20.46,college,87.6,000581_002742_75_220_003_FF_876.c3d,000581_002742_model.c3d
581,2742,2742_3,99.792,1.905,20.46,college,87.4,000581_002742_75_220_004_FF_874.c3d,000581_002742_model.c3d
581,2742,2742_4,99.792,1.905,20.46,college,87.8,000581_002742_75_220_008_FF_878.c3d,000581_002742_model.c3d
581,2742,2742_5,99.792,1.905,20.46,college,87.1,000581_002742_75_220_009_FF_871.c3d,000581_002742_model.c3d
1552,2753,2753_1,84.3696,1.8542,18.94,high_school,79.4,001552_002753_73_186_001_FF_794.c3d,001552_002753_model.c3d
1552,2753,2753_2,84.3696,1.8542,18.94,high_school,79.9,001552_002753_73_186_003_FF_799.c3d,001552_002753_model.c3d
1552,2753,2753_3,84.3696,1.8542,18.94,high_school,78.8,001552_002753_73_186_009_FF_788.c3d,001552_002753_model.c3d
1552,2753,2753_4,84.3696,1.8542,18.94,high_school,80.0,001552_002753_73_186_011_FF_800.c3d,001552_002753_model.c3d
1552,2753,2753_5,84.3696,1.8542,18.94,high_school,79.8,001552_002753_73_186_012_FF_798.c3d,001552_002753_model.c3d
1557,2760,2760_1,82.5552,1.8542,20.54,college,84.2,001557_002760_73_182_002_FF_842.c3d,001557_002760_model.c3d
1557,2760,2760_2,82.5552,1.8542,20.54,college,84.4,001557_002760_73_182_003_FF_844.c3d,001557_002760_model.c3d
1557,2760,2760_3,82.5552,1.8542,20.54,college,83.5,001557_002760_73_182_004_FF_835.c3d,001557_002760_model.c3d
1557,2760,2760_4,82.5552,1.8542,20.54,college,83.8,001557_002760_73_182_005_FF_838.c3d,001557_002760_model.c3d
1557,2760,2760_5,82.5552,1.8542,20.54,college,84.3,001557_002760_73_182_010_FF_843.c3d,001557_002760_model.c3d
1558,2761,2761_2,88.9056,1.8542,19.35,college,79.2,001558_002761_73_196_002_FF_792.c3d,001558_002761_model.c3d
1558,2761,2761_3,88.9056,1.8542,19.35,college,79.7,001558_002761_73_196_009_FF_797.c3d,001558_002761_model.c3d
1558,2761,2761_4,88.9056,1.8542,19.35,college,79.7,001558_002761_73_196_010_FF_797.c3d,001558_002761_model.c3d
1558,2761,2761_5,88.9056,1.8542,19.35,college,79.4,001558_002761_73_196_011_FF_794.c3d,001558_002761_model.c3d
1584,2806,2806_1,82.1016,1.778,20.01,college,79.8,001584_002806_70_181_001_FF_798.c3d,001584_002806_model.c3d
1584,2806,2806_2,82.1016,1.778,20.01,college,79.1,001584_002806_70_181_002_FF_791.c3d,001584_002806_model.c3d
1584,2806,2806_3,82.1016,1.778,20.01,college,79.4,001584_002806_70_181_004_FF_794.c3d,001584_002806_model.c3d
1584,2806,2806_4,82.1016,1.778,20.01,college,79.1,001584_002806_70_181_011_FF_791.c3d,001584_002806_model.c3d
1584,2806,2806_5,82.1016,1.778,20.01,college,79.3,001584_002806_70_181_012_FF_793.c3d,001584_002806_model.c3d
1589,2811,2811_1,85.2768,1.9304,18.74,high_school,75.8,001589_002811_76_188_001_FF_758.c3d,001589_002811_model.c3d
1589,2811,2811_2,85.2768,1.9304,18.74,high_school,76.4,001589_002811_76_188_002_FF_764.c3d,001589_002811_model.c3d
1589,2811,2811_3,85.2768,1.9304,18.74,high_school,74.9,001589_002811_76_188_003_FF_749.c3d,001589_002811_model.c3d
1589,2811,2811_4,85.2768,1.9304,18.74,high_school,75.1,001589_002811_76_188_004_FF_751.c3d,001589_002811_model.c3d
1589,2811,2811_5,85.2768,1.9304,18.74,high_school,74.9,001589_002811_76_188_006_FF_749.c3d,001589_002811_model.c3d
1590,2812,2812_1,76.2048,1.905,17.68,high_school,80.5,001590_002812_75_168_001_FF_805.c3d,001590_002812_model.c3d
1590,2812,2812_2,76.2048,1.905,17.68,high_school,79.8,001590_002812_75_168_002_FF_798.c3d,001590_002812_model.c3d
1590,2812,2812_3,76.2048,1.905,17.68,high_school,81.0,001590_002812_75_168_003_FF_810.c3d,001590_002812_model.c3d
1590,2812,2812_4,76.2048,1.905,17.68,high_school,79.9,001590_002812_75_168_004_FF_799.c3d,001590_002812_model.c3d
1590,2812,2812_5,76.2048,1.905,17.68,high_school,79.3,001590_002812_75_168_013_FF_793.c3d,001590_002812_model.c3d
1592,2815,2815_1,97.0704,1.905,22.8,college,91.1,001592_002815_75_214_001_FF_911.c3d,001592_002815_model.c3d
1592,2815,2815_2,97.0704,1.905,22.8,college,90.7,001592_002815_75_214_004_FF_907.c3d,001592_002815_model.c3d
1592,2815,2815_3,97.0704,1.905,22.8,college,89.6,001592_002815_75_214_005_FF_896.c3d,001592_002815_model.c3d
1592,2815,2815_4,97.0704,1.905,22.8,college,89.6,001592_002815_75_214_006_FF_896.c3d,001592_002815_model.c3d
1592,2815,2815_5,97.0704,1.905,22.8,college,89.6,001592_002815_75_214_007_FF_896.c3d,001592_002815_model.c3d
1595,2818,2818_1,96.1632,1.9558,19.61,college,86.7,001595_002818_77_212_001_FF_867.c3d,001595_002818_model.c3d
1595,2818,2818_2,96.1632,1.9558,19.61,college,85.8,001595_002818_77_212_003_FF_858.c3d,001595_002818_model.c3d
1595,2818,2818_3,96.1632,1.9558,19.61,college,86.3,001595_002818_77_212_005_FF_863.c3d,001595_002818_model.c3d
1595,2818,2818_4,96.1632,1.9558,19.61,college,85.8,001595_002818_77_212_007_FF_858.c3d,001595_002818_model.c3d
1595,2818,2818_5,96.1632,1.9558,19.61,college,85.8,001595_002818_77_212_008_FF_858.c3d,001595_002818_model.c3d
1606,2833,2833_1,83.916,1.8034,19.84,college,85.5,001606_002833_71_185_006_FF_855.c3d,001606_002833_model.c3d
1606,2833,2833_2,83.916,1.8034,19.84,college,85.9,001606_002833_71_185_007_FF_859.c3d,001606_002833_model.c3d
1606,2833,2833_3,83.916,1.8034,19.84,college,85.2,001606_002833_71_185_010_FF_852.c3d,001606_002833_model.c3d
1606,2833,2833_4,83.916,1.8034,19.84,college,85.8,001606_002833_71_185_011_FF_858.c3d,001606_002833_model.c3d
1606,2833,2833_5,83.916,1.8034,19.84,college,85.4,001606_002833_71_185_012_FF_854.c3d,001606_002833_model.c3d
1562,2840,2840_1,84.8232,1.9304,20.64,college,82.1,001562_002840_76_187_006_FF_821.c3d,001562_002840_model.c3d
1562,2840,2840_2,84.8232,1.9304,20.64,college,82.3,001562_002840_76_187_010_FF_823.c3d,001562_002840_model.c3d
1562,2840,2840_4,84.8232,1.9304,20.64,college,81.9,001562_002840_76_187_012_FF_819.c3d,001562_002840_model.c3d
1562,2840,2840_5,84.8232,1.9304,20.64,college,81.5,001562_002840_76_187_014_FF_815.c3d,001562_002840_model.c3d
565,2843,2843_1,83.4624,1.778,23.98,college,86.9,000565_002843_70_184_001_FF_869.c3d,000565_002843_model.c3d
565,2843,2843_2,83.4624,1.778,23.98,college,85.8,000565_002843_70_184_002_FF_858.c3d,000565_002843_model.c3d
565,2843,2843_3,83.4624,1.778,23.98,college,86.3,000565_002843_70_184_003_FF_863.c3d,000565_002843_model.c3d
565,2843,2843_4,83.4624,1.778,23.98,college,85.3,000565_002843_70_184_005_FF_853.c3d,000565_002843_model.c3d
565,2843,2843_5,83.4624,1.778,23.98,college,86.2,000565_002843_70_184_007_FF_862.c3d,000565_002843_model.c3d
1612,2853,2853_1,89.3592,1.778,19.09,college,82.4,001612_002853_70_197_002_FF_824.c3d,001612_002853_model.c3d
1612,2853,2853_3,89.3592,1.778,19.09,college,83.8,001612_002853_70_197_006_FF_838.c3d,001612_002853_model.c3d
1612,2853,2853_4,89.3592,1.778,19.09,college,82.8,001612_002853_70_197_007_FF_828.c3d,001612_002853_model.c3d
1612,2853,2853_5,89.3592,1.778,19.09,college,82.8,001612_002853_70_197_009_FF_828.c3d,001612_002853_model.c3d
1616,2857,2857_1,69.4008,1.8542,18.85,college,72.6,001616_002857_73_153_005_FF_726.c3d,001616_002857_model.c3d
1616,2857,2857_2,69.4008,1.8542,18.85,college,73.5,001616_002857_73_153_006_FF_735.c3d,001616_002857_model.c3d
1616,2857,2857_3,69.4008,1.8542,18.85,college,73.1,001616_002857_73_153_007_FF_731.c3d,001616_002857_model.c3d
1616,2857,2857_4,69.4008,1.8542,18.85,college,72.9,001616_002857_73_153_008_FF_729.c3d,001616_002857_model.c3d
1616,2857,2857_5,69.4008,1.8542,18.85,college,73.3,001616_002857_73_153_009_FF_733.c3d,001616_002857_model.c3d
1618,2859,2859_1,93.8952,1.8542,20.54,college,90.9,001618_002859_73_207_005_FF_909.c3d,001618_002859_model.c3d
1618,2859,2859_2,93.8952,1.8542,20.54,college,91.5,001618_002859_73_207_006_FF_915.c3d,001618_002859_model.c3d
1618,2859,2859_3,93.8952,1.8542,20.54,college,90.8,001618_002859_73_207_008_FF_908.c3d,001618_002859_model.c3d
1618,2859,2859_4,93.8952,1.8542,20.54,college,90.8,001618_002859_73_207_009_FF_908.c3d,001618_002859_model.c3d
1618,2859,2859_5,93.8952,1.8542,20.54,college,91.4,001618_002859_73_207_012_FF_914.c3d,001618_002859_model.c3d
1619,2860,2860_1,78.9264,1.8034,18.62,college,89.0,001619_002860_71_174_001_FF_890.c3d,001619_002860_model.c3d
1619,2860,2860_2,78.9264,1.8034,18.62,college,88.6,001619_002860_71_174_003_FF_886.c3d,001619_002860_model.c3d
1619,2860,2860_3,78.9264,1.8034,18.62,college,87.8,001619_002860_71_174_004_FF_878.c3d,001619_002860_model.c3d
1619,2860,2860_5,78.9264,1.8034,18.62,college,89.5,001619_002860_71_174_008_FF_895.c3d,001619_002860_model.c3d
1620,2861,2861_1,82.5552,1.7526,19.33,college,87.5,001620_002861_69_182_003_FF_875.c3d,001620_002861_model.c3d
1620,2861,2861_2,82.5552,1.7526,19.33,college,87.4,001620_002861_69_182_005_FF_874.c3d,001620_002861_model.c3d
